#,Test,Date,Image,Model,Weight,Height,Size,Resolution,Screen
1,77 %,"08/2024
New!",,"Medion S17431-MD62640
Intel Core Ultra 7 155H
Intel Arc 8-Core iGPU
16 GB Memory, 1024 GB SSD",2.1 kg,20 mm,"17.30""",1920x1080,,
Position,Total Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen
1,87.1 %,10/2023,,"SCHENKER XMG Apex 17 (Late 23)
AMD Ryzen 7 7840HS
NVIDIA GeForce RTX 4060 Laptop GPU
32 GB Memory, 1024 GB SSD",2.5 kg,24.9 mm,"17.30""",2560x1440,matte
2,86.4 %,05/2023,,"LG Gram 17 (2023)
Intel Core i7-1360P
Intel Iris Xe Graphics G7 96EUs
16 GB Memory, 1024 GB SSD",1.4 kg,17.8 mm,"17.00""",2560x1600,matte
3,86.3 %,"05/2024
New!",,"Tulpar T7 V20.6
Intel Core i7-13700H
NVIDIA GeForce RTX 4060 Laptop GPU
16 GB Memory, 512 GB SSD",2.6 kg,30.05 mm,"17.30""",1920x1080,matte
4,86.3 %,04/2023,,"HP Envy 17-cr0079ng
Intel Core i7-1255U
NVIDIA GeForce RTX 2050 Mobile
32 GB Memory, 1024 GB SSD",2.6 kg,19.6 mm,"17.30""",3840x2160,glossy
5,85.6 %,01/2024,,"Asus TUF Gaming A17 FA707XI-NS94
AMD Ryzen 9 7940HS
NVIDIA GeForce RTX 4070 Laptop GPU
16 GB Memory, 1024 GB SSD",2.5 kg,25.4 mm,"17.30""",1920x1080,matte
6,85.5 %,06/2023,,"Acer Nitro 5 AN517-55-5552
Intel Core i5-12500H
NVIDIA GeForce RTX 4050 Laptop GPU
16 GB Memory, 512 GB SSD",3 kg,28.9 mm,"17.30""",1920x1080,matte
7,85.2 %,02/2022,,"Lenovo Legion 5 17ACH6H-82JY0003GE
AMD Ryzen 5 5600H
NVIDIA GeForce RTX 3060 Laptop GPU
16 GB Memory, 512 GB SSD",3.1 kg,24.3 mm,"17.30""",1920x1080,matte
8,84.3 %,04/2022,,"SCHENKER Work 17 Tiger Lake-H
Intel Core i7-11370H
Intel Iris Xe Graphics G7 96EUs
32 GB Memory, 1024 GB SSD",2.3 kg,19.8 mm,"17.30""",1920x1080,matte
9,84.1 %,04/2022,,"Asus TUF Gaming F17 FX707Z-HX011W
Intel Core i7-12700H
NVIDIA GeForce RTX 3060 Laptop GPU
16 GB Memory, 1024 GB SSD",2.5 kg,25 mm,"17.30""",1920x1080,matte
10,83.3 %,01/2023,,"Gigabyte G7 KE
Intel Core i5-12500H
NVIDIA GeForce RTX 3060 Laptop GPU
16 GB Memory, 1024 GB SSD",2.6 kg,25 mm,"17.30""",1920x1080,matte
