,Asus ROG Zephyrus G16 GU605MY,SCHENKER XMG Neo 16 (Early 24),"Lenovo Legion 9 16IRX9, RTX 4090",SCHENKER XMG Core 15 (M24),"Lenovo Legion Pro 5 16IRX9, i7-14700HX, RTX 4060",SCHENKER XMG Pro 16 Studio (Mid 24),Tuxedo Sirius 16 Gen 1,HP Omen 17-db0079ng,Asus TUF Gaming A15 FA507UV,Lenovo LOQ 15IRX9
Display,
Display P3 Coverage,99.9,70.2,95.3,73.2,99.22,68.8,67.4,66.2,70.5,73.7
sRGB Coverage,100,98,99.9,100,99.93,99.5,97.2,95.5,98.5,99.1
AdobeRGB 1998 Coverage,96.9,70.6,86.6,74.6,87.81,70.8,69.3,68.1,72.7,72.6
Response Times,
Response Time Grey 50% / Grey 80% *,0.22 ?,11.2 ?,12.6 ?,9.6 ?,4.8 ?,12.7 ?,12 ?,14.4 ?,31.7 ?,42.2 ?
Response Time Black / White *,0.25 ?,5.1 ?,10 ?,9.2 ?,9.2 ?,6.3 ?,10 ?,8.3 ?,22.9 ?,22.6 ?
PWM Frequency,960 ?,,5430,,,,,,,
Screen,
Brightness middle,416,530,631,635,518,416,302,363,315,306
Brightness,418,497,664,604,491,392,314,341,303,287
Brightness Distribution,96,85,91,91,90,86,86,84,90,88
Black Level *,,0.53,0.03,0.64,0.36,0.38,0.38,0.38,0.25,0.21
Colorchecker dE 2000 *,1.6,3.21,2.68,1.89,4.32,2.33,2.97,1.74,2.26,2.25
Colorchecker dE 2000 max. *,2.1,5.8,6.41,3.14,6.37,6.07,5.63,5.39,7.37,4.84
Greyscale dE 2000 *,2.7,4.2,2.71,2.53,3.66,3.7,5.45,1.3,4,2.4
Gamma,2.16 102%,2.226 99%,2.27 97%,2.36 93%,2.19 100%,2.161 102%,1.994 110%,2.235 98%,2.116 104%,2.259 97%
CCT,6331 103%,6448 101%,6135 106%,6434 101%,6841 95%,7102 92%,6520 100%,6346 102%,7570 86%,6790 96%
Contrast,,1000,21033,992,1439,1095,795,955,1260,1457
Colorchecker dE 2000 calibrated *,,1.44,2.68,1.14,0.75,1.02,2.24,1.43,1.03,1.45
Noise,
off / environment *,24.6,26,23,23,23,25,25.1,25,25,25
Idle Minimum *,24.6,28,23,23,23,28,25.1,25,25,26
Idle Average *,27.8,29,23,23,23,31,30.4,29,27,34
Idle Maximum *,31.9,31,23,23,25,35,30.4,33,33,36
Load Average *,49.2,51,39,38.92,45.18,52,35.2,45,40,48
Cyberpunk 2077 ultra *,52.3,,,52.06,52.69,53,,48,45,48
Load Maximum *,52.3,56,55.56,52.09,53.13,52,54.2,52,46,50
Witcher 3 ultra *,,54,55.32,50.96,,,,,,
Heat,
Maximum Upper Side *,45.9,47,56,52,50,51,54.7,44,53,47
Maximum Bottom *,47.5,56,53,61,57,66,57.1,45,46,58
Idle Upper Side *,26.1,27,38,35,36,35,25.8,26,32,32
Idle Bottom *,26.6,27,39,39,39,39,32,27,34,36
Battery Runtime,
WiFi v1.3,391,350,290,889,308,337,437,544,702,320
Reader / Idle,,600,,,,,,,,
Load,,122,129,151,105,,,,,
Witcher 3 ultra,,,,,,,58,,,
Cyberpunk 2077 ultra 150cd,,,,,,,,59,,
Power Consumption,
Idle Minimum *,7.8,6,20.5,9.3,13.7,31,15.9,6,7,13
Idle Average *,10.9,16,27.7,12.9,17.7,33,20.1,12,12,18
Idle Maximum *,11.6,28,32.1,12.8,18.5,41,23.5,18,18,24
Load Average *,98.7,130,105,,124,114,111.7,71,70,85
Cyberpunk 2077 ultra *,157.3,,,,229,218,,197,146.8,155.7
Cyberpunk 2077 ultra external monitor *,165.5,,,,224,196.8,,191.8,146.2,150.9
Load Maximum *,232,361,323,286,297,250,240,228,206,232
Witcher 3 ultra *,,302,246,167,,,228,,,
