,Lenovo ThinkPad P1 G6-21FV000DGE,Lenovo ThinkPad P16 G2 21FA000FGE,Dell Precision 5000 5490,HP ZBook Power 15 G10,Lenovo ThinkPad P16s G2 21K9000CGE,Dell Precision 5690,HP ZBook Fury 16 G11,Lenovo ThinkPad P14s G5 21G3S00A00,HP ZBook Firefly 14 G11
Display,
Display P3 Coverage,68.1,71,79.7,68.2,99.9,99.8,98.4,98.4,98.9
sRGB Coverage,97.5,99.2,100,95.6,100,100,99.9,100,99.9
AdobeRGB 1998 Coverage,70.2,73.2,79.5,70.5,96.9,96.6,86,87.4,86.6
Response Times,
Response Time Grey 50% / Grey 80% *,13.7 ?,12.8 ?,52.3 ?,13 ?,1.5 ?,1.7 ?,11.4 ?,30.2 ?,12.3 ?
Response Time Black / White *,9.6 ?,10.1 ?,33.3 ?,10.4 ?,1.3 ?,1.7 ?,8.4 ?,15 ?,8.3 ?
PWM Frequency,,,,,60,60 ?,,,
Screen,
Brightness middle,521,510,485.1,313.8,416,348.1,457.6,439,554.1
Brightness,484,517,471,302,421,351,466,406,540
Brightness Distribution,89,89,90,83,98,97,83,87,93
Black Level *,0.36,0.37,0.38,0.29,,,0.43,0.32,0.58
Contrast,1447,1378,1277,1082,,,1064,1372,955
Colorchecker dE 2000 *,1.2,2.6,2.15,3.27,1.3,4.18,2.78,2.1,2.54
Colorchecker dE 2000 max. *,2.5,5.2,5.39,7.81,2.8,6.68,5.53,6.2,4.99
Colorchecker dE 2000 calibrated *,1,2.3,0.67,0.56,2.9,0.97,1.37,0.8,0.56
Greyscale dE 2000 *,1.4,3.6,2,5.9,1.8,1.7,2,3.9,1
Gamma,2.25 98%,2.26 97%,2.3 96%,2.18 101%,2.25 98%,2.2 100%,2.28 96%,2.2 100%,2.3 96%
CCT,6682 97%,5969 109%,6826 95%,6323 103%,6574 99%,6198 105%,6806 96%,7013 93%,6556 99%
Noise,
off / environment *,24.5,23.5,22.8,24.2,22.6,23.4,23.2,24.6,24.3
Idle Minimum *,24.5,23.5,23.8,24.4,22.6,23.6,23.2,24.6,24.6
Idle Average *,24.5,29.2,23.8,24.4,22.6,24.9,23.2,24.6,25.2
Idle Maximum *,24.5,29.5,24.7,24.4,22.6,30.9,29.5,27.5,26.8
Load Average *,48,32.7,38.9,27.4,37.8,40.4,43,41.2,38.9
Witcher 3 ultra *,40.7,50.6,49.9,43.3,40.3,48.3,,,
Load Maximum *,48,56.6,51.4,46.8,40.5,51.9,48.2,46.8,45.8
Cyberpunk 2077 ultra *,,,,,,,48.2,46.8,41.8
Heat,
Maximum Upper Side *,47.1,47.2,43.2,42.4,42.7,46.6,42.2,41.3,42.8
Maximum Bottom *,56.5,39.5,38.4,47.8,47.2,33,48,47,44
Idle Upper Side *,28.1,28.1,31.6,26.8,27.8,32.4,37,30.2,30.6
Idle Bottom *,27.6,25.3,30.6,27.2,28.4,29.4,36.8,33.2,31.4
Battery Runtime,
WiFi v1.3,567,515,658,601,635,549,402,473,517
Load,67,,,,92,,,78,
Power Consumption,
Idle Minimum *,8.3,9.3,11.1,5.3,6.1,7.9,8.6,7.5,6.6
Idle Average *,14.5,14.1,14.8,9.9,6.5,12,14.8,13.5,12.7
Idle Maximum *,15.3,15.5,16.5,16.7,7,28.6,15.7,14.2,13.3
Load Average *,91.8,133.6,70.1,61.3,56.6,98.8,129.4,100.2,67
Witcher 3 ultra *,104.7,144.9,93.1,87.9,61.2,144.5,,,
Load Maximum *,164.5,179.6,137.5,145.3,68.3,174.8,236.1,137.4,94.9
Cyberpunk 2077 ultra external monitor *,,,,,,,192.6,84.6,58.1
Cyberpunk 2077 ultra *,,,,,,,199.4,86.7,63.4
