#,Test,Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen,Best Price
1,v8,87.8 %,"08/2024 New!",,"Asus ProArt P16 H7606WI AMD Ryzen AI 9 HX 370 NVIDIA GeForce RTX 4070 Laptop GPU 64 GB Memory, 1024 GB SSD",1.8 kg,17.3 mm,"16.00""",3840x2400,glossy,
2,v8,85.1 %,"07/2024 New!",,"Asus Zenbook S16 UM5606 AMD Ryzen AI 9 HX 370 AMD Radeon 890M32 GB Memory, 1024 GB SSD",1.5 kg,12.9 mm,"16.00""",2880x1800,glossy,
3,v8,84.7 %,"08/2024 New!",,"SCHENKER XMG Evo 15 (M24) Intel Core Ultra 7 155H Intel Arc 8-Core iGPU 32 GB Memory, 1024 GB SSD",1.7 kg,19.9 mm,"15.30""",2560x1600,matte,
4,v8,83.4 %,06/2024,,"Dell Inspiron 16 Plus 7640 Intel Core Ultra 7 155H NVIDIA GeForce RTX 4060 Laptop GPU 16 GB Memory, 1024 GB SSD",2.2 kg,19.9 mm,"16.00""",2560x1600,matte,from EUR 1300
5,v8,81.2 %,07/2024,,"LG gram Pro 16Z90SP Intel Core Ultra 7 155H NVIDIA GeForce RTX 3050 4GB Laptop GPU 32 GB Memory, 1024 GB SSD",1.3 kg,14.4 mm,"16.00""",2880x1800,glossy,
6,v8,80.2 %,"07/2024 New!",,"Samsung Galaxy Book4 Edge 16 Qualcomm Snapdragon X Elite X1E-80-100 Qualcomm SD X Adreno X1-85 (3.8 TFLOPS) 16 GB Memory, 512 GB ",1.5 kg,12.3 mm,"16.00""",2880x1800,glossy,
7,v8,76.7 %,"07/2024 New!",,"Medion S10 OLED Intel Core Ultra 7 155H Intel Arc 8-Core iGPU 16 GB Memory, 1024 GB SSD",1.6 kg,17.8 mm,"16.00""",3840x2400,glossy,
8,v8,74.7 %,"07/2024 New!",,"Lenovo IdeaPad Slim 5 16IRU9 Intel Core 7 150U Intel Iris Xe Graphics G7 96EUs 16 GB Memory",1.8 kg,16.9 mm,"16.00""",1920x1200,,
1,v7 (old),93.2 %,11/2023,,"Apple MacBook Pro 16 2023 M3 Max Apple M3 Max 16-Core Apple M3 Max 40-Core GPU 128 GB Memory, 8192 GB SSD",2.1 kg,16.9 mm,"16.00""",3456x2234,glossy,
2,v7 (old),92.8 %,11/2023,,"Apple MacBook Pro 14 2023 M3 Max Apple M3 Max 16-Core Apple M3 Max 40-Core GPU 64 GB Memory, 2048 GB SSD",1.6 kg,15.5 mm,"14.20""",3024x1964,glossy,from EUR 5264
3,v7 (old),90.4 %,03/2024,,"Samsung Galaxy Book4 Ultra Intel Core Ultra 7 155H NVIDIA GeForce RTX 4050 Laptop GPU 16 GB Memory, 512 GB SSD",1.8 kg,17 mm,"16.00""",2880x1800,glossy,from EUR 2799
4,v7 (old),89.7 %,04/2024,,"Xiaomi RedmiBook Pro 16 2024Intel Core Ultra 7 155HIntel Arc 8-Core iGPU32 GB Memory, 1024 GB SSD",1.9 kg,15.9 mm,"16.00""",3072x1920,matte,from EUR 957
5,v7 (old),89.6 %,01/2024,,"Framework Laptop 16 AMD Ryzen 9 7940HS AMD Radeon RX 7700S 32 GB Memory, 1024 GB SSD",2.4 kg,20.95 mm,"16.00""",2560x1600,matte,from EUR 2400
6,v7 (old),88.7 %,04/2024,,"Lenovo Yoga Pro 9 16IMH9 Intel Core Ultra 9 185H NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD",2.1 kg,18.3 mm,"16.00""",3200x2000,matte,from EUR 2700
7,v7 (old),88.6 %,04/2024,,"Dell XPS 16 9640 Intel Core Ultra 7 155H NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD",2.3 kg,18.7 mm,"16.30""",3840x2400,glossy,
8,v7 (old),88.6 %,07/2023,,"SCHENKER VISION 16 Pro (M23) Intel Core i7-13700H NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD",1.6 kg,17.1 mm,"16.00""",2560x1600,matte,from EUR 2600
9,v7 (old),87.9 %,05/2024,,"Lenovo IdeaPad Pro 5 16IMH G9 Intel Core Ultra 7 155H Intel Arc 8-Core iGPU 32 GB Memory, 1024 GB SSD",1.9 kg,17.5 mm,"16.00""",2560x1600,matte,from EUR 1300
10,v7 (old),87 %,04/2024,,"LG Gram 17 17Z90S-G.AA79G Intel Core Ultra 7 155H Intel Arc 8-Core iGPU 16 GB Memory, 1024 GB SSD",1.3 kg,18.1 mm,"17.00""",2560x1600,matte,
