Position,Weighted Rating,Total Rating,Date,Image,Model,Height,Weight,Size,Resolution
6,91.5 %,89.7 %,04/2024,,"Xiaomi RedmiBook Pro 16 2024 Intel Core Ultra 7 155HIntel Arc 8-Core iGPU 32 GB Memory, 1024 GB SSD",15.9 mm,1.9 kg,"16.00""",3072x1920
7,91.4 %,91.6 %,03/2024,,"Apple MacBook Air 15 M3 Apple M3 Apple M3 10-Core GPU 16 GB Memory, 512 GB SSD",11.5 mm,1.5 kg,"15.60""",2880x1664
4,89.8 %,88.6 %,08/2023,,"Lenovo ThinkPad L14 G4 21H6S00900 AMD Ryzen 5 7530U AMD Radeon RX Vega 7 16 GB Memory, 512 GB SSD",19.83 mm,1.5 kg,"14.00""",1920x1080
8,89.3 %,87.5 %,10/2023,,"Framework Laptop 13.5 Ryzen 7 7840U AMD Ryzen 7 7840U AMD Radeon 780M 16 GB Memory, 512 GB SSD",15.85 mm,1.3 kg,"13.50""",2256x1504
5,82.8 %,83.5 %,06/2024,,"Huawei MateBook 14 FLMH-W7611T Intel Core Ultra 7 155H Intel Arc 8-Core iGPU 16 GB Memory, 1024 GB SSD",17.08 mm,1.3 kg,"14.20""",2880x1920
3,82.7 %,81 %,04/2024,,"Acer Aspire Go 15 AG15-31P-34JP Intel Core i3-N305 Intel UHD Graphics 32EUs (Alder Lake) 8 GB Memory, 512 GB SSD",18.9 mm,1.7 kg,"15.60""",1920x1080
2,81.6 %,78.5 %,01/2024,,"Lenovo IdeaPad Slim 3 CB 14M868 MediaTek Kompanio 520 ARM Mali-G52 MP2 4 GB Memory, 64 GB eMMC",19.3 mm,1.3 kg,"14.00""",1920x1080
1,79.4 %,79.5 %,03/2024,,"Asus BR1402FG Intel Core i3-N305 Intel UHD Graphics 32EUs (Alder Lake) 8 GB Memory, 1024 GB SSD",20.8 mm,1.7 kg,"14.00""",1920x1080
9,75.8 %,86.3 %,05/2024,,"Tulpar T7 V20.6Intel Core i7-13700H NVIDIA GeForce RTX 4060 Laptop GPU 16 GB Memory, 512 GB SSD",30.05 mm,2.6 kg,"17.30""",1920x1080
10,75.7 %,86.8 %,05/2024,,"Acer Predator Helios Neo 16 (2024) Intel Core i7-14700HX NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD",25.95 mm,2.6 kg,"16.00""",2560x1600
