#,Test,gew. Bewertung,Bewertung,Date,Image,Model,Screen,Weight,Resolution,Surface,Contrast,DeltaE Color,AdobeRGB (%),Best Price
1,v8,89.5 %,83.9 %,"06/2024",,"Lenovo Legion 9 16IRX9, RTX 4090 Intel Core i9-14900HX NVIDIA GeForce RTX 4090 Laptop GPU 64 GB Memory, 2048 GB SSD","16.00""",2.5 kg,3200x2000,matte,,,,from EUR 4349
2,v8,88.6 %,85.5 %,"06/2024",,"SCHENKER XMG Neo 16 (Early 24) Intel Core i9-14900HX NVIDIA GeForce RTX 4090 Laptop GPU 32 GB Memory, 1024 GB SSD","16.00""",2.5 kg,2560x1600,matte,,,,from EUR 3800
3,v8,88.5 %,82.3 %,"07/2024",,"Lenovo Legion Pro 5 16IRX9, i7-14700HX, RTX 4060 Intel Core i7-14700HX NVIDIA GeForce RTX 4060 Laptop GPU 32 GB Memory, 1024 GB SSD","16.00""",2.5 kg,2560x1600,matte,,,,from EUR 1.432
4,v8,87 %,83.7 %,"06/2024",,"SCHENKER XMG Core 15 (M24) AMD Ryzen 7 8845HS NVIDIA GeForce RTX 4060 Laptop GPU 32 GB Memory, 1024 GB SSD","15.30""",2.1 kg,2560x1600,matte,,,,
5,v8,86.5 %,84.7 %,"08/2024 New!",,"SCHENKER XMG Evo 15 (M24) Intel Core Ultra 7 155H Intel Arc 8-Core iGPU 32 GB Memory, 1024 GB SSD","15.30""",1.7 kg,2560x1600,matte,,,,
6,v8,86.1 %,86.1 %,"07/2024",,"Asus ROG Zephyrus G16 GU605MY Intel Core Ultra 9 185H NVIDIA GeForce RTX 4090 Laptop GPU 32 GB Memory, 2048 GB SSD","16.00""",1.9 kg,2560x1600,glossy,,,,from EUR 4300
7,v8,85.7 %,80.5 %,"08/2024 New!",,"Acer Predator Helios Neo 14 (2024) Intel Core Ultra 9 185H NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD","14.50""",1.9 kg,3072x1920,matte,,,,
8,v8,85.3 %,84.7 %,"07/2024",,"Asus Zenbook S16 UM5606 AMD Ryzen AI 9 HX 370 AMD Radeon 890M 32 GB Memory, 1024 GB SSD","16.00""",1.5 kg,2880x1800,glossy,,,,
9,v8,85.2 %,85.1 %,"07/2024",,"SCHENKER VIA 14 Pro (M24) AMD Ryzen 7 8845HS AMD Radeon 780M 32 GB Memory, 2048 GB SSD","14.00""",1.4 kg,2880x1800,matte,,,,
10,v8,85.1 %,85.9 %,"08/2024 New!",,"HP ZBook Fury 16 G11 Intel Core i9-14900HX NVIDIA RTX 3500 Ada Generation Laptop GPU 64 GB Memory, 1024 GB SSD","16.00""",2.6 kg,3840x2400,matte,,,,from EUR 3300

Position,Weighted Rating,Total Rating,Date,Image,Model,Screen,Weight,Resolution,Surface,Contrast,DeltaE Color,AdobeRGB (%)
1,96.6 %,93.2 %,"11/2023",,"Apple MacBook Pro 16 2023 M3 Max Apple M3 Max 16-Core Apple M3 Max 40-Core GPU 128 GB Memory, 8192 GB SSD","16.00""",2.1 kg,3456x2234,glossy,,1.2,
2,96.1 %,88.3 %,"02/2024",,"Asus ROG Strix Scar 18 G834JYR (2024) Intel Core i9-14900HX NVIDIA GeForce RTX 4090 Laptop GPU 32 GB Memory, 2048 GB SSD","18.00""",3.1 kg,2560x1600,matte,14197:1,1.52,
3,95.8 %,89.5 %,"03/2024",,"Lenovo Legion Pro 7 16IRX9H Intel Core i9-14900HX NVIDIA GeForce RTX 4080 Laptop GPU 32 GB Memory, 1024 GB SSD","16.00""",2.7 kg,2560x1600,matte,1160:1,1.12,
4,95.8 %,90 %,"04/2023",,"Asus ROG Zephyrus G14 GA402XY AMD Ryzen 9 7940HS NVIDIA GeForce RTX 4090 Laptop GPU 32 GB Memory, 1024 GB SSD","14.00""",1.7 kg,2560x1600,matte,,1,
5,95.6 %,88.4 %,"02/2024",,"HP Omen Transcend 16-u1095ng Intel Core i9-14900HX NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD","16.00""",2.3 kg,2560x1600,matte,19500:1,1.94,
6,95.6 %,92.8 %,"11/2023",,"Apple MacBook Pro 14 2023 M3 Max Apple M3 Max 16-Core Apple M3 Max 40-Core GPU 64 GB Memory, 2048 GB SSD","14.20""",1.6 kg,3024x1964,glossy,,1.7,
7,95.6 %,90.2 %,"10/2023",,"Lenovo Legion 9 16IRX8 Intel Core i9-13980HX NVIDIA GeForce RTX 4090 Laptop GPU 32 GB Memory, 2048 GB SSD","16.00""",2.6 kg,3200x2000,matte,16873:1,2.56,
8,95.1 %,91.1 %,"02/2024",,"Razer Blade 16 2024, RTX 4090 Intel Core i9-14900HX NVIDIA GeForce RTX 4090 Laptop GPU 32 GB Memory, 2048 GB SSD","16.00""",2.5 kg,2560x1600,glossy,20900:1,1.07,
9,94.9 %,89.7 %,"02/2024",,"Razer Blade 14 RZ09-0508 AMD Ryzen 9 8945HS NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD","14.00""",1.9 kg,2560x1600,matte,1274:1,2.23,
10,94.9 %,89.3 %,"03/2024",,"Lenovo Legion Pro 5 16IRX9 Intel Core i9-14900HX NVIDIA GeForce RTX 4070 Laptop GPU 32 GB Memory, 1024 GB SSD","16.00""",2.5 kg,2560x1600,matte,1097:1,0.97,
